Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	25.511786	25.511786	0.187500	0.187500	
0.001000	25.433777	25.433777	0.148438	0.148438	
0.001000	25.541599	25.541599	0.062500	0.062500	
0.001000	25.527531	25.527531	0.117188	0.117188	
0.001000	25.504032	25.504032	0.093750	0.093750	
0.001000	25.439636	25.439636	0.093750	0.093750	
0.001000	25.463778	25.463778	0.125000	0.125000	
0.001000	25.589209	25.589209	0.109375	0.109375	
0.001000	25.432621	25.432621	0.179688	0.179688	
0.001000	25.550871	25.550871	0.140625	0.140625	
0.001000	25.411369	25.411369	0.156250	0.156250	
0.001000	25.543999	25.543999	0.117188	0.117188	
0.001000	25.424400	25.424400	0.140625	0.140625	
0.001000	25.315815	25.315815	0.164062	0.164062	
0.001000	25.474804	25.474804	0.117188	0.117188	
0.001000	25.423386	25.423386	0.132812	0.132812	
0.001000	25.468765	25.468765	0.164062	0.164062	
0.001000	25.341749	25.341749	0.195312	0.195312	
0.001000	25.461742	25.461742	0.132812	0.132812	
0.001000	25.502733	25.502733	0.109375	0.109375	
0.001000	25.524540	25.524540	0.132812	0.132812	
0.001000	25.592594	25.592594	0.117188	0.117188	
0.001000	25.372166	25.372166	0.117188	0.117188	
0.001000	25.410183	25.410183	0.117188	0.117188	
0.001000	25.398165	25.398165	0.093750	0.093750	
0.001000	25.389816	25.389816	0.125000	0.125000	
0.001000	25.542955	25.542955	0.085938	0.085938	
0.001000	25.529533	25.529533	0.109375	0.109375	
0.001000	25.538841	25.538841	0.085938	0.085938	
0.001000	25.489183	25.489183	0.140625	0.140625	
0.001000	25.349512	25.349512	0.179688	0.179688	
0.001000	25.504063	25.504063	0.148438	0.148438	
0.001000	25.506145	25.506145	0.070312	0.070312	
0.001000	25.518978	25.518978	0.117188	0.117188	
0.001000	25.322815	25.322815	0.156250	0.156250	
0.001000	25.366604	25.366604	0.179688	0.179688	
0.001000	25.428957	25.428957	0.125000	0.125000	
